,go,pv,k,n,N,genes
58,GO_CILIUM,2.3763284895031164e-13,93,210,1656,ADCY10;AHI1;AKAP4;ANKS3;ARL13A;ARR3;ATG14;BBIP1;BBS4;BBS5;CATSPER2;CATSPER4;CCDC66;CCDC68;CCP110;CDK10;CENPJ;CEP128;CEP162;CEP164;CEP290;CEP78;CEP83;CFAP298;CFAP44;CFAP69;CFAP70;CNTRL;CPLANE1;DCDC2C;DNAAF1;DNAH1;DNAH17;DNALI1;DNHD1;DRD2;DYNC2LI1;DZIP1L;EFCAB2;EFCAB7;ELMOD3;FBF1;GUCA1B;IFT122;IFT27;IFT80;IFT81;INPP5E;INTU;IQCB1;KIAA0586;KIF27;KIF3A;MKS1;MOK;MOSMO;NPHP1;NPHP3;ODF2L;OFD1;PCDH15;PCM1;PDZD7;PMFBP1;PPEF2;PRKAR2B;QRICH2;RABL2B;RHO;ROPN1B;RPGR;SCLT1;SLC9C1;TAPT1;TAS2R4;TAS2R43;TBC1D32;TOGARAM1;TRIP11;TSSK4;TTBK2;TTC21A;TTC21B;TTLL3;TTLL7;TUB;TXNDC8;USH2A;WBP2NL;WDR11;WDR19;WDR60;WHRN
17,GO_CILIUM_ORGANIZATION,7.294374898791029e-13,73,152,1656,AHI1;AKAP4;AKAP9;ARL13A;ARMC2;ATAT1;AVIL;BBIP1;BBS4;BBS5;CCDC66;CCP110;CDK10;CENPJ;CEP120;CEP135;CEP152;CEP162;CEP164;CEP192;CEP290;CEP72;CEP78;CEP83;CFAP298;CFAP44;CNTRL;CPLANE1;DNAAF1;DNAH1;DYNC2LI1;DZIP1L;FBF1;HAUS3;HAUS5;IFT122;IFT27;IFT80;IFT81;INTU;IQCB1;KIAA0586;KIF27;KIF3A;MKS1;NPHP1;NPHP3;ODF2L;OFD1;PCM1;PRKAR2B;RABL2B;RFX3;ROPN1B;RPGR;SCLT1;SFI1;STK36;TAPT1;TBC1D32;TCHP;TOGARAM1;TRIP11;TTBK2;TTC17;TTC21A;TTC21B;TTLL3;TUB;WDR11;WDR19;WDR60;WDR90
45,GO_CENTRIOLE,9.05454065359031e-13,36,53,1656,AHI1;BBS4;CCDC68;CCP110;CENPJ;CEP120;CEP128;CEP135;CEP152;CEP162;CEP164;CEP192;CEP290;CEP295;CEP78;CEP83;DZIP1L;FBF1;IQCB1;KIAA0586;KIAA0753;KIF3A;MDM1;MKS1;MPHOSPH9;NEURL4;ODF2L;OFD1;PCM1;RABL2B;SASS6;SCLT1;SFI1;STARD9;TTBK2;WDR90
4,GO_CELL_PROJECTION_ASSEMBLY,1.373029984110367e-07,81,217,1656,AHI1;AKAP4;AKAP9;ARHGEF7;ARL13A;ARMC2;ATAT1;AVIL;BBIP1;BBS4;BBS5;C15orf62;CCDC66;CCP110;CDK10;CENPJ;CEP120;CEP135;CEP152;CEP162;CEP164;CEP192;CEP290;CEP72;CEP78;CEP83;CFAP298;CFAP44;CNTRL;CPLANE1;DNAAF1;DNAH1;DYNC2LI1;DZIP1L;FBF1;FGD6;FMR1;HAUS3;HAUS5;IFT122;IFT27;IFT80;IFT81;INTU;IQCB1;KIAA0586;KIF27;KIF3A;MKS1;NPHP1;NPHP3;ODF2L;OFD1;PCM1;PLXNB3;PPP1R9A;PRKAR2B;QRICH2;RABL2B;RAPGEF6;RFX3;RPGR;SCLT1;SFI1;SH2B1;SPATA13;SRGAP2C;STK36;TAPT1;TBC1D32;TCHP;TENM1;TOGARAM1;TRIP11;TTBK2;TTC21B;TTLL3;WDR11;WDR19;WDR60;WDR90
50,GO_MOTILE_CILIUM,2.8605095850614065e-07,28,51,1656,ADCY10;AKAP4;BBS4;CATSPER2;CATSPER4;CFAP44;CFAP69;DCDC2C;DNAH1;DNAH17;DNALI1;DRD2;DYNC2LI1;EFCAB2;IFT27;IFT81;INTU;NPHP1;PMFBP1;QRICH2;ROPN1B;RPGR;SLC9C1;TAS2R43;TSSK4;TXNDC8;WBP2NL;WDR19
59,GO_CILIARY_BASAL_BODY,7.282778722291162e-07,27,50,1656,AHI1;BBS4;BBS5;CCDC66;CDK10;CENPJ;CEP290;CEP78;DYNC2LI1;DZIP1L;FBF1;IFT122;IFT81;INTU;KIAA0586;MKS1;ODF2L;OFD1;PCM1;RABL2B;RPGR;TAPT1;TOGARAM1;TTBK2;USH2A;WDR11;WHRN
57,GO_MICROTUBULE_ORGANIZING_CENTER,1.5336413141500783e-06,103,308,1656,AHI1;AKAP9;ANKRD26;BBS4;BBS5;BICD1;BOD1L1;C2CD5;CAMK2B;CAPRIN2;CCDC116;CCDC14;CCDC15;CCDC66;CCDC68;CCNE2;CCP110;CDC16;CDK10;CDK5RAP3;CENPJ;CEP120;CEP128;CEP135;CEP152;CEP162;CEP164;CEP192;CEP290;CEP295;CEP44;CEP57L1;CEP72;CEP78;CEP83;CEP85L;CEP95;CNTRL;CSPP1;DCDC2C;DYNC2LI1;DZIP1L;EVI5;EYA3;FBF1;HAUS3;HAUS5;HMBOX1;HOOK2;IFT122;IFT27;IFT80;IFT81;INTU;IQCB1;KIAA0586;KIAA0753;KIF3A;KIZ;LRRC7;MDM1;MICALL2;MKS1;MPHOSPH9;NEIL1;NEURL4;ODF2L;OFD1;ORC2;PATJ;PCM1;PKN2;PLA2G6;PPP1R12A;PRKAR2B;RABL2B;RAPGEF6;RAPSN;RBBP6;RBM39;RPGR;SASS6;SCLT1;SFI1;SLF1;SPDL1;SPPL2B;STARD9;TAF1D;TAPT1;TCHP;TOGARAM1;TTBK2;TUBE1;TUBGCP4;TUBGCP5;TUBGCP6;UPF3B;USH2A;WDR11;WDR60;WDR90;WHRN
82,GO_MEIOSIS_I_CELL_CYCLE_PROCESS,1.82427894738065e-06,26,49,1656,AGO4;ATM;BTBD18;C11orf80;C14orf39;CCNE2;CENPC;CNTD1;FANCM;HFM1;MLH3;MRE11;MSH4;MSH5;MYBL1;PRDM7;PSMC3IP;RAD54B;RNF212B;SHOC1;SUN1;SYCE2;SYCP2;SYCP3;UBR2;WEE2
84,GO_CILIARY_BASAL_BODY_PLASMA_MEMBRANE_DOCKING,1.82427894738065e-06,26,49,1656,AHI1;AKAP9;CCP110;CENPJ;CEP135;CEP152;CEP162;CEP164;CEP192;CEP290;CEP72;CEP78;CEP83;CNTRL;FBF1;HAUS3;HAUS5;IQCB1;MKS1;NPHP1;OFD1;PCM1;PRKAR2B;SCLT1;SFI1;TTBK2
51,GO_CILIARY_TRANSITION_ZONE,7.339516816191613e-06,16,25,1656,AHI1;BBS4;CCDC66;CEP290;CPLANE1;DYNC2LI1;IFT122;IQCB1;MKS1;NPHP1;PCM1;PDZD7;TTBK2;USH2A;WDR19;WHRN
77,GO_INTRACILIARY_TRANSPORT,1.0215961681453097e-05,15,23,1656,DYNC2LI1;IFT122;IFT27;IFT80;IFT81;KIF3A;PCM1;RABL2B;RPGR;TRIP11;TTC21A;TTC21B;TUB;WDR19;WDR60
22,GO_ORGANELLE_ASSEMBLY,1.1379825907621105e-05,110,347,1656,AHI1;AKAP4;AKAP9;ARL13A;ARMC2;ATAT1;ATG12;ATG14;ATG16L2;ATG2B;AVIL;BBIP1;BBS4;BBS5;BICD1;CAPN3;CCDC66;CCP110;CDK10;CENPC;CENPJ;CENPT;CEP120;CEP135;CEP152;CEP162;CEP164;CEP192;CEP290;CEP295;CEP72;CEP78;CEP83;CFAP298;CFAP44;CHMP4A;CNTRL;CPLANE1;DNAAF1;DNAH1;DYNC2LI1;DZIP1L;FBF1;GOLGA8N;GOLGA8R;HAUS3;HAUS5;HPS4;IFT122;IFT27;IFT80;IFT81;INTU;IQCB1;KIAA0586;KIAA0753;KIF27;KIF3A;LMOD3;MDM1;MKS1;MTMR3;MYH3;NEB;NPHP1;NPHP3;OBSCN;ODF2L;OFD1;PAN2;PAN3;PATL2;PCM1;PIKFYVE;POGZ;PRKAR2B;RABL2B;RB1CC1;RC3H1;RFX3;RPGR;SASS6;SCLT1;SENP6;SFI1;STARD9;STK36;TAPT1;TBC1D12;TBC1D32;TCAP;TCHP;TOGARAM1;TP53INP1;TRIP11;TTBK2;TTC21B;TTLL3;TTN;TUBB1;TUBGCP4;TUBGCP5;TUBGCP6;TXNDC8;WBP2NL;WDR11;WDR19;WDR60;WDR90;WEE2
23,GO_PROTEIN_TRANSPORT_ALONG_MICROTUBULE,1.5194112000545034e-05,16,26,1656,DYNC2LI1;IFT122;IFT27;IFT80;IFT81;KIF3A;MAPK8IP3;PCM1;RABL2B;RPGR;TRIP11;TTC21A;TTC21B;TUB;WDR19;WDR60
76,GO_HOMOLOGOUS_RECOMBINATION,2.1710410528401625e-05,15,24,1656,ATM;C11orf80;C14orf39;CNTD1;FANCM;HFM1;MLH3;MRE11;MSH4;MSH5;PRDM7;PSMC3IP;RAD54B;SHOC1;UBR2
49,GO_CENTROSOME,3.223773659421765e-05,81,245,1656,AHI1;AKAP9;ANKRD26;BBS4;BBS5;BICD1;BOD1L1;C2CD5;CAPRIN2;CCDC116;CCDC14;CCDC15;CCDC66;CCNE2;CCP110;CDC16;CDK5RAP3;CENPJ;CEP120;CEP135;CEP152;CEP162;CEP164;CEP192;CEP290;CEP295;CEP44;CEP57L1;CEP72;CEP78;CEP85L;CEP95;CNTRL;CSPP1;DYNC2LI1;EYA3;FBF1;HAUS3;HAUS5;HMBOX1;HOOK2;IFT27;IFT80;IFT81;IQCB1;KIAA0586;KIAA0753;KIF3A;KIZ;LRRC7;MDM1;MKS1;ODF2L;OFD1;ORC2;PATJ;PCM1;PKN2;PLA2G6;PPP1R12A;PRKAR2B;RABL2B;RAPGEF6;RAPSN;RBBP6;RBM39;RPGR;SASS6;SCLT1;SFI1;SLF1;SPPL2B;TAF1D;TAPT1;TCHP;TUBE1;TUBGCP4;TUBGCP5;TUBGCP6;UPF3B;WDR60
54,GO_INTRACILIARY_TRANSPORT_PARTICLE,3.909409238839022e-05,8,9,1656,DYNC2LI1;IFT122;IFT27;IFT80;IFT81;TTC21A;TTC21B;WDR19
8,GO_MALE_GAMETE_GENERATION,5.912104005069057e-05,62,179,1656,ACSBG2;ADAM29;ADCY10;AGO4;ARID4A;ARID4B;ARMC2;ATAT1;ATM;BBS4;BTBD18;C14orf39;CATSPER2;CATSPER4;CFAP44;CFAP69;CNTD1;CTSV;DNAH1;DPY19L2;FSCN3;H1-6;H1-7;HERC4;ICA1L;IFT27;IFT81;INSL3;KDM3A;MCM8;METTL14;METTL3;MLH3;MSH4;MYBL1;NKAPL;NPAP1;NPHP1;NR2C2;PARP11;PMCH;PMFBP1;RNF151;ROPN1B;SLC9C1;SPATA16;SPATA25;SPDYA;SPEF2;SPEM1;SUN1;SYCP2;SYCP3;TAF7L;TBATA;TSSK3;TSSK4;TTC21A;TXNDC8;UBR2;YTHDC2;ZNF449
27,GO_MEIOTIC_CELL_CYCLE,9.756536370545015e-05,37,94,1656,AGO4;ATM;BTBD18;C11orf80;C14orf39;CCNE2;CENPC;CNTD1;FANCM;HFM1;MARF1;METTL3;MLH3;MRE11;MSH4;MSH5;MYBL1;PRDM7;PSMC3IP;RAD54B;RNF212B;SHOC1;SMC1B;SMC4;SPDYA;SPIRE2;SUN1;SYCE2;SYCP2;SYCP3;TUBGCP4;TUBGCP5;TUBGCP6;UBR2;WBP2NL;WEE2;YTHDC2
31,GO_GAMETE_GENERATION,0.0001419816508195738,75,232,1656,ACSBG2;ADAM29;ADCY10;AGO4;AMH;ARID4A;ARID4B;ARMC2;ATAT1;ATM;BBS4;BTBD18;C14orf39;CATSPER2;CATSPER4;CELF1;CELF4;CFAP44;CFAP69;CGB7;CNTD1;CTSV;DNAH1;DPY19L2;FANCL;FSCN3;GAS2;GDF9;H1-6;H1-7;HERC4;ICA1L;IFT27;IFT81;INSL3;KDM3A;MARF1;MCM8;METTL14;METTL3;MLH3;MSH4;MYBL1;NKAPL;NPAP1;NPHP1;NR2C2;PABPC1L;PARP11;PMCH;PMFBP1;RNF151;ROPN1B;SLC9C1;SPATA16;SPATA25;SPDYA;SPEF2;SPEM1;SPIRE2;SUN1;SYCP2;SYCP3;TAF7L;TBATA;TIAL1;TSSK3;TSSK4;TTC21A;TUT4;TXNDC8;UBR2;WEE2;YTHDC2;ZNF449
89,GO_9PLUS2_MOTILE_CILIUM,0.00014635391607922742,15,27,1656,AKAP4;CATSPER4;CFAP69;DCDC2C;DNAH1;DNALI1;DRD2;IFT27;IFT81;PMFBP1;QRICH2;RPGR;TSSK4;TXNDC8;WBP2NL
20,GO_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY,0.00014635391607922742,15,27,1656,AKAP4;ARMC2;BBS4;CATSPER2;CATSPER4;CFAP44;CFAP69;DNAH1;DNAH17;QRICH2;RFX3;ROPN1B;SLC9C1;SPEM1;TTC21A
18,GO_CILIUM_MOVEMENT,0.00018417107632414832,11,17,1656,ADCY10;BBS4;CFAP298;DNAAF1;DNAH1;DNAH17;KIF27;NPHP3;OFD1;RFX3;STK36
5,GO_PROTEIN_LOCALIZATION_TO_CILIUM,0.00021825835976820528,14,25,1656,ARL13A;BBIP1;BBS4;CCDC66;CPLANE1;EFCAB7;IFT122;INPP5E;ROPN1B;TBC1D32;TTC21A;TTC21B;TUB;WDR19
33,GO_MEIOTIC_CELL_CYCLE_PROCESS,0.00031247197636838375,30,75,1656,AGO4;ATM;BTBD18;C11orf80;C14orf39;CCNE2;CENPC;CNTD1;FANCM;HFM1;MARF1;MLH3;MRE11;MSH4;MSH5;MYBL1;PRDM7;PSMC3IP;RAD54B;RNF212B;SHOC1;SMC4;SPDYA;SPIRE2;SUN1;SYCE2;SYCP2;SYCP3;UBR2;WEE2
67,GO_LYSINE_N_METHYLTRANSFERASE_ACTIVITY,0.0003254811041219402,13,23,1656,ETFBKMT;EZH1;KMT5B;KMT5C;NSD3;PRDM2;PRDM7;SETD4;SETD5;SETD6;SETDB1;SETDB2;VCPKMT
86,GO_NON_MOTILE_CILIUM_ASSEMBLY,0.00037963583358070736,11,18,1656,ARL13A;BBS4;CENPJ;CEP135;IFT122;IFT80;INTU;MKS1;PCM1;TBC1D32;TOGARAM1
75,GO_INTRACILIARY_TRANSPORT_INVOLVED_IN_CILIUM_ASSEMBLY,0.00037963583358070736,11,18,1656,DYNC2LI1;IFT122;IFT27;IFT80;IFT81;KIF3A;PCM1;TRIP11;TTC21B;WDR19;WDR60
13,GO_SEXUAL_REPRODUCTION,0.0003924363200785955,87,285,1656,ACSBG2;ADAM20;ADAM29;ADCY10;AGO4;AKAP4;AMH;ARID4A;ARID4B;ARMC2;ATAT1;ATM;BBS4;BTBD18;C14orf39;CATSPER2;CATSPER4;CELF1;CELF4;CFAP44;CFAP69;CGB7;CNTD1;CTSV;DNAH1;DPY19L2;FANCL;FSCN3;GAS2;GDF9;GLIPR1L1;H1-6;H1-7;HERC4;ICA1L;IFT27;IFT81;INSL3;IZUMO1;KDM3A;MARF1;MCM8;METTL14;METTL3;MLH3;MSH4;MTNR1A;MYBL1;NKAPL;NPAP1;NPHP1;NR2C2;OVGP1;PABPC1L;PARP11;PLCD4;PMCH;PMFBP1;PRSS37;RIMS1;RNF151;ROPN1B;SLC9C1;SPATA16;SPATA25;SPDYA;SPEF2;SPEM1;SPIRE2;STX2;SUN1;SYCP2;SYCP3;TAF7L;TBATA;TIAL1;TSSK3;TSSK4;TTC21A;TUT4;TXNDC8;UBR2;VIP;WBP2NL;WEE2;YTHDC2;ZNF449
3,GO_MRNA_SPLICE_SITE_SELECTION,0.00048527418291458507,12,21,1656,CELF1;CELF4;KHDC4;LUC7L;LUC7L2;LUC7L3;PRPF39;PTBP2;SFSWAP;SRSF10;SRSF5;YTHDC1
74,GO_INTRACILIARY_RETROGRADE_TRANSPORT,0.0005116703894782984,5,5,1656,DYNC2LI1;IFT122;TTC21A;TTC21B;WDR19
10,GO_MICROTUBULE_BASED_PROCESS,0.0005369461003249277,83,272,1656,ADCY10;AKAP9;ARMC2;ATAT1;ATXN3;BBS4;BICD1;BICDL2;BORA;CCDC66;CCDC68;CCP110;CENPJ;CEP120;CEP135;CEP152;CEP192;CEP295;CEP72;CFAP298;CFAP44;CHORDC1;DNAAF1;DNAH1;DNAH17;DNHD1;DST;DYNC2LI1;GCC2;GOLGA8N;GOLGA8R;HAUS3;HAUS5;HOOK2;IFT122;IFT27;IFT80;IFT81;KIAA0753;KIF27;KIF3A;KIZ;KLC1;KTN1;MACF1;MAPK8IP3;MARK3;MDM1;NPHP3;OFD1;PCM1;PEX1;PPP1R12A;RABL2B;RFX3;RPGR;SASS6;SENP6;SPDL1;SPG7;SPIRE2;SRGAP2C;STARD9;STK36;SUN1;TOGARAM1;TPPP;TPPP3;TRIP11;TTBK2;TTC21A;TTC21B;TTLL3;TUB;TUBB1;TUBE1;TUBGCP4;TUBGCP5;TUBGCP6;WDR19;WDR60;WDR73;XRCC3
15,GO_CENTRIOLE_ASSEMBLY,0.0005515878193106731,10,16,1656,CCP110;CENPJ;CEP120;CEP135;CEP152;CEP295;CEP72;KIAA0753;MDM1;SASS6
41,GO_PEPTIDYL_LYSINE_METHYLATION,0.0006044747579314213,21,48,1656,ARID4A;ARID4B;DNMT3B;ETFBKMT;EZH1;KDM3A;KMT5B;KMT5C;MTF2;NSD3;OGT;PRDM2;PRDM7;RIF1;SETD4;SETD5;SETD6;SETDB1;SETDB2;TET2;VCPKMT
62,GO_BITTER_TASTE_RECEPTOR_ACTIVITY,0.0006380528577645799,6,7,1656,TAS2R10;TAS2R14;TAS2R20;TAS2R4;TAS2R43;TAS2R5
34,GO_MICROTUBULE_BASED_MOVEMENT,0.0009049199130355886,36,100,1656,ADCY10;BBS4;BICD1;BICDL2;CFAP298;DNAAF1;DNAH1;DNAH17;DNHD1;DST;DYNC2LI1;IFT122;IFT27;IFT80;IFT81;KIF27;KIF3A;KLC1;KTN1;MAPK8IP3;NPHP3;OFD1;PCM1;RABL2B;RFX3;RPGR;SPG7;STARD9;STK36;SUN1;TRIP11;TTC21A;TTC21B;TUB;WDR19;WDR60
16,GO_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS,0.0010016984659509888,31,83,1656,ARR3;BBS4;BBS5;CABP4;CACNB2;CCDC66;CHRNB2;CRYBA2;CRYBB3;CRYGS;EYA3;GPR179;GRM6;GUCA1B;HSF4;IMPG1;IMPG2;LCTL;LRIT3;NR2E3;PCDH15;PDE6C;PPEF2;PRR4;RHO;RIMS1;RPGR;SLC45A2;TYR;USH2A;WHRN
93,GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,0.0011221972637078096,134,482,1656,AEBP2;ASCL3;BRD8;BTAF1;CARF;CBFA2T2;CENPT;CGGBP1;CRAMP1;CREBZF;DMTF1;EN2;EZH1;FOXD4L4;FOXP1;GATAD1;GLI4;GOLGB1;GON4L;GPBP1;HINFP;HMBOX1;HSF4;IRF3;IRF9;KDM3A;KLF8;L3MBTL1;LCOR;LHX4;MEIS1;MTF2;MXD3;MYBL1;MYEF2;MYSM1;MZF1;NANOGP8;NFYB;NKX1-2;NR2C1;NR2C2;NR2E3;PAXBP1;PBX4;PCGF3;PLAGL1;POU2F1;POU5F1;POU6F1;PRDM15;PRDM2;PRDM7;RBAK;RCOR3;RFX3;RUNX2;SATB1;SCML1;SNAPC4;TAF5;TAL1;TBR1;TBX19;TFAP2E;TFDP2;TXK;ZBED5;ZBTB25;ZBTB26;ZBTB34;ZBTB37;ZBTB48;ZC3H6;ZC3H8;ZFP3;ZKSCAN8;ZMYM1;ZMYM2;ZMYM5;ZMYM6;ZNF10;ZNF117;ZNF160;ZNF182;ZNF197;ZNF224;ZNF23;ZNF236;ZNF26;ZNF266;ZNF280C;ZNF284;ZNF292;ZNF3;ZNF33A;ZNF37A;ZNF397;ZNF404;ZNF43;ZNF44;ZNF440;ZNF445;ZNF449;ZNF451;ZNF491;ZNF529;ZNF557;ZNF558;ZNF559;ZNF559-ZNF177;ZNF566;ZNF589;ZNF644;ZNF69;ZNF692;ZNF7;ZNF70;ZNF708;ZNF711;ZNF75A;ZNF75D;ZNF778;ZNF785;ZNF846;ZNF891;ZNF91;ZRANB2;ZSCAN18;ZSCAN21;ZSCAN29;ZSCAN30;ZSCAN9;ZXDC
11,GO_SPERM_MOTILITY,0.0014330956852307872,12,23,1656,AKAP4;ARMC2;CATSPER2;CATSPER4;CFAP44;CFAP69;DNAH1;QRICH2;ROPN1B;SLC9C1;SPEM1;TTC21A
32,GO_HOMOLOGOUS_CHROMOSOME_SEGREGATION,0.0014330956852307872,12,23,1656,AGO4;ATM;C14orf39;CCNE2;CENPC;MLH3;MRE11;MSH4;RNF212B;SUN1;SYCE2;SYCP2
